Border,Date,Measure,Value,Average
US-Mexico Border,12/01/2018 12:00:00 AM,Personal Vehicle Passengers,12388647,14020102
US-Mexico Border,12/01/2018 12:00:00 AM,Personal Vehicles,6327597,6531023
US-Mexico Border,12/01/2018 12:00:00 AM,Pedestrians,4319416,3698446
US-Canada Border,12/01/2018 12:00:00 AM,Personal Vehicle Passengers,3878052,5509460
US-Canada Border,12/01/2018 12:00:00 AM,Personal Vehicles,2005044,2637817
US-Mexico Border,12/01/2018 12:00:00 AM,Trucks,469397,400445
US-Canada Border,12/01/2018 12:00:00 AM,Trucks,410534,510170
US-Mexico Border,12/01/2018 12:00:00 AM,Truck Containers Full,321593,254785
US-Canada Border,12/01/2018 12:00:00 AM,Truck Containers Full,277418,382028
US-Canada Border,12/01/2018 12:00:00 AM,Rail Containers Full,174518,109458
US-Mexico Border,12/01/2018 12:00:00 AM,Bus Passengers,163284,243362
US-Mexico Border,12/01/2018 12:00:00 AM,Truck Containers Empty,147782,141182
US-Canada Border,12/01/2018 12:00:00 AM,Truck Containers Empty,136378,88599
US-Canada Border,12/01/2018 12:00:00 AM,Bus Passengers,90296,266015
US-Canada Border,12/01/2018 12:00:00 AM,Rail Containers Empty,58295,44404
US-Mexico Border,12/01/2018 12:00:00 AM,Rail Containers Empty,52383,31635
US-Mexico Border,12/01/2018 12:00:00 AM,Rail Containers Full,40776,28181
US-Canada Border,12/01/2018 12:00:00 AM,Pedestrians,20703,46607
US-Mexico Border,12/01/2018 12:00:00 AM,Buses,14129,19482
US-Canada Border,12/01/2018 12:00:00 AM,Train Passengers,12838,21296
US-Canada Border,12/01/2018 12:00:00 AM,Buses,4082,11074
US-Canada Border,12/01/2018 12:00:00 AM,Trains,1996,2510
US-Mexico Border,12/01/2018 12:00:00 AM,Trains,970,729
US-Mexico Border,12/01/2018 12:00:00 AM,Train Passengers,870,1031
US-Mexico Border,12/01/2017 12:00:00 AM,Personal Vehicle Passengers,12939220,14023962
US-Mexico Border,12/01/2017 12:00:00 AM,Personal Vehicles,6604570,6530760
US-Mexico Border,12/01/2017 12:00:00 AM,Pedestrians,4084983,3697066
US-Canada Border,12/01/2017 12:00:00 AM,Personal Vehicle Passengers,3918120,5515144
US-Canada Border,12/01/2017 12:00:00 AM,Personal Vehicles,2033658,2639975
US-Mexico Border,12/01/2017 12:00:00 AM,Trucks,465722,400211
US-Canada Border,12/01/2017 12:00:00 AM,Trucks,415723,510508
US-Mexico Border,12/01/2017 12:00:00 AM,Truck Containers Full,320329,254551
US-Canada Border,12/01/2017 12:00:00 AM,Truck Containers Full,303972,382307
US-Mexico Border,12/01/2017 12:00:00 AM,Bus Passengers,153202,243684
US-Canada Border,12/01/2017 12:00:00 AM,Rail Containers Full,144333,109334
US-Mexico Border,12/01/2017 12:00:00 AM,Truck Containers Empty,142113,141178
US-Canada Border,12/01/2017 12:00:00 AM,Truck Containers Empty,119996,88487
US-Canada Border,12/01/2017 12:00:00 AM,Bus Passengers,101295,266603
US-Canada Border,12/01/2017 12:00:00 AM,Rail Containers Empty,58486,44353
US-Mexico Border,12/01/2017 12:00:00 AM,Rail Containers Empty,43734,31592
US-Mexico Border,12/01/2017 12:00:00 AM,Rail Containers Full,39599,28140
US-Canada Border,12/01/2017 12:00:00 AM,Pedestrians,16585,46714
US-Mexico Border,12/01/2017 12:00:00 AM,Buses,14483,19500
US-Canada Border,12/01/2017 12:00:00 AM,Train Passengers,13308,21324
US-Canada Border,12/01/2017 12:00:00 AM,Buses,4199,11099
US-Canada Border,12/01/2017 12:00:00 AM,Trains,1778,2513
US-Mexico Border,12/01/2017 12:00:00 AM,Train Passengers,1011,1031
US-Mexico Border,12/01/2017 12:00:00 AM,Trains,918,729
US-Mexico Border,12/01/2016 12:00:00 AM,Personal Vehicle Passengers,12651731,14028881
US-Mexico Border,12/01/2016 12:00:00 AM,Personal Vehicles,6538225,6530733
US-Mexico Border,12/01/2016 12:00:00 AM,Pedestrians,3742732,3696902
US-Canada Border,12/01/2016 12:00:00 AM,Personal Vehicle Passengers,3661312,5521788
US-Canada Border,12/01/2016 12:00:00 AM,Personal Vehicles,2001120,2642264
US-Mexico Border,12/01/2016 12:00:00 AM,Trucks,471027,399958
US-Canada Border,12/01/2016 12:00:00 AM,Trucks,429874,510797
US-Canada Border,12/01/2016 12:00:00 AM,Truck Containers Full,340124,382458
US-Mexico Border,12/01/2016 12:00:00 AM,Truck Containers Full,315173,254334
US-Mexico Border,12/01/2016 12:00:00 AM,Bus Passengers,156361,243997
US-Mexico Border,12/01/2016 12:00:00 AM,Truck Containers Empty,153526,141134
US-Canada Border,12/01/2016 12:00:00 AM,Rail Containers Full,128793,109264
US-Canada Border,12/01/2016 12:00:00 AM,Bus Passengers,104876,267183
US-Canada Border,12/01/2016 12:00:00 AM,Truck Containers Empty,82752,88508
US-Canada Border,12/01/2016 12:00:00 AM,Rail Containers Empty,48508,44338
US-Mexico Border,12/01/2016 12:00:00 AM,Rail Containers Full,40121,28097
US-Mexico Border,12/01/2016 12:00:00 AM,Rail Containers Empty,38259,31568
US-Mexico Border,12/01/2016 12:00:00 AM,Buses,16056,19512
US-Canada Border,12/01/2016 12:00:00 AM,Train Passengers,15120,21347
US-Canada Border,12/01/2016 12:00:00 AM,Pedestrians,14316,46830
US-Canada Border,12/01/2016 12:00:00 AM,Buses,4707,11122
US-Canada Border,12/01/2016 12:00:00 AM,Trains,2431,2513
US-Mexico Border,12/01/2016 12:00:00 AM,Train Passengers,928,1032
US-Mexico Border,12/01/2016 12:00:00 AM,Trains,857,728
US-Mexico Border,12/01/2015 12:00:00 AM,Personal Vehicle Passengers,12663151,14033793
US-Mexico Border,12/01/2015 12:00:00 AM,Personal Vehicles,6554035,6530649
US-Mexico Border,12/01/2015 12:00:00 AM,Pedestrians,3806503,3696508
US-Canada Border,12/01/2015 12:00:00 AM,Personal Vehicle Passengers,3753777,5528148
US-Canada Border,12/01/2015 12:00:00 AM,Personal Vehicles,2051559,2644389
US-Canada Border,12/01/2015 12:00:00 AM,Trucks,443072,511040
US-Mexico Border,12/01/2015 12:00:00 AM,Trucks,439833,399814
US-Canada Border,12/01/2015 12:00:00 AM,Truck Containers Full,321599,382677
US-Mexico Border,12/01/2015 12:00:00 AM,Truck Containers Full,302522,254161
US-Mexico Border,12/01/2015 12:00:00 AM,Bus Passengers,222809,244073
US-Mexico Border,12/01/2015 12:00:00 AM,Truck Containers Empty,133821,141160
US-Canada Border,12/01/2015 12:00:00 AM,Rail Containers Full,129075,109193
US-Canada Border,12/01/2015 12:00:00 AM,Bus Passengers,109880,267749
US-Canada Border,12/01/2015 12:00:00 AM,Truck Containers Empty,81862,88532
US-Canada Border,12/01/2015 12:00:00 AM,Rail Containers Empty,49783,44319
US-Mexico Border,12/01/2015 12:00:00 AM,Rail Containers Full,39311,28057
US-Mexico Border,12/01/2015 12:00:00 AM,Rail Containers Empty,39153,31540
US-Mexico Border,12/01/2015 12:00:00 AM,Buses,19011,19514
US-Canada Border,12/01/2015 12:00:00 AM,Pedestrians,18664,46931
US-Canada Border,12/01/2015 12:00:00 AM,Train Passengers,14133,21373
US-Canada Border,12/01/2015 12:00:00 AM,Buses,5297,11143
US-Canada Border,12/01/2015 12:00:00 AM,Trains,2426,2513
US-Mexico Border,12/01/2015 12:00:00 AM,Train Passengers,979,1032
US-Mexico Border,12/01/2015 12:00:00 AM,Trains,844,728
US-Mexico Border,12/01/2014 12:00:00 AM,Personal Vehicle Passengers,12207554,14040386
US-Mexico Border,12/01/2014 12:00:00 AM,Personal Vehicles,6329766,6531375
US-Canada Border,12/01/2014 12:00:00 AM,Personal Vehicle Passengers,4458925,5532008
US-Mexico Border,12/01/2014 12:00:00 AM,Pedestrians,3815655,3696078
US-Canada Border,12/01/2014 12:00:00 AM,Personal Vehicles,2406075,2645250
US-Canada Border,12/01/2014 12:00:00 AM,Trucks,445798,511276
US-Mexico Border,12/01/2014 12:00:00 AM,Trucks,431463,399700
US-Canada Border,12/01/2014 12:00:00 AM,Truck Containers Full,311052,382936
US-Mexico Border,12/01/2014 12:00:00 AM,Truck Containers Full,269057,254107
US-Mexico Border,12/01/2014 12:00:00 AM,Bus Passengers,244142,244073
US-Canada Border,12/01/2014 12:00:00 AM,Rail Containers Full,135873,109096
US-Canada Border,12/01/2014 12:00:00 AM,Bus Passengers,125678,268262
US-Mexico Border,12/01/2014 12:00:00 AM,Truck Containers Empty,103650,141296
US-Canada Border,12/01/2014 12:00:00 AM,Truck Containers Empty,100925,88487
US-Canada Border,12/01/2014 12:00:00 AM,Rail Containers Empty,61100,44258
US-Mexico Border,12/01/2014 12:00:00 AM,Rail Containers Empty,37996,31517
US-Mexico Border,12/01/2014 12:00:00 AM,Rail Containers Full,36430,28026
US-Canada Border,12/01/2014 12:00:00 AM,Pedestrians,19935,47029
US-Mexico Border,12/01/2014 12:00:00 AM,Buses,18883,19517
US-Canada Border,12/01/2014 12:00:00 AM,Train Passengers,15318,21394
US-Canada Border,12/01/2014 12:00:00 AM,Buses,5782,11162
US-Canada Border,12/01/2014 12:00:00 AM,Trains,2268,2514
US-Mexico Border,12/01/2014 12:00:00 AM,Train Passengers,884,1032
US-Mexico Border,12/01/2014 12:00:00 AM,Trains,825,727
US-Mexico Border,12/01/2013 12:00:00 AM,Personal Vehicle Passengers,11710485,14048828
US-Mexico Border,12/01/2013 12:00:00 AM,Personal Vehicles,6000441,6533298
US-Canada Border,12/01/2013 12:00:00 AM,Personal Vehicle Passengers,4753768,5534828
US-Mexico Border,12/01/2013 12:00:00 AM,Pedestrians,3988323,3695019
US-Canada Border,12/01/2013 12:00:00 AM,Personal Vehicles,2524328,2645688
US-Canada Border,12/01/2013 12:00:00 AM,Trucks,412866,511632
US-Mexico Border,12/01/2013 12:00:00 AM,Trucks,398636,399704
US-Canada Border,12/01/2013 12:00:00 AM,Truck Containers Full,300125,383236
US-Mexico Border,12/01/2013 12:00:00 AM,Bus Passengers,254446,244035
US-Mexico Border,12/01/2013 12:00:00 AM,Truck Containers Full,233404,254182
